name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
ZrO2,ZrO2,Y2O3,water,one-sided,vertical-up,Ceramic,polypropylene,NOI,0.026,,,243.0,0.0,72.0,2.0,1823.0,0.1607,0.5679
YSZ,Al2O3/ZrO2,,water,,,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,24.0,,773.0,0.11,0.76
YSZ,Al2O3/ZrO2,,water,,,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,24.0,,773.0,0.11,0.7
YSZ,ZrO2/Al,,water,,,Metal/Ceramic,Teflon,Dolapix CE 64,,PEG,,,1.0,48.0,3.0,1173.0,0.2,0.642
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,1.0,72.0,,,0.0075,0.99
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,1.0,72.0,,,0.0024,0.965
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,1.0,72.0,,,0.0038,0.948
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,3.0,72.0,,,0.0075,0.99
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,3.0,72.0,,,0.0024,0.965
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,3.0,72.0,,,0.0038,0.948
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,6.0,72.0,,,0.0075,0.99
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,6.0,72.0,,,0.0024,0.965
gelatin,Gelatin,,water,one-sided,vertical-up,Polymer,polytetrafluoroethylene,,,,,,6.0,72.0,,,0.0038,0.948
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0039,0.99
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0016,0.973
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0155,0.97
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.02,0.955
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.947
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.965
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.9625
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.956
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.954
gelatin,Gelatin,,acetic acid,immersion,vertical-up,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.952
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,1.0,48.0,4.0,1573.0,0.2,0.747
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,1.0,48.0,4.0,1573.0,0.2,0.751
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,1.0,48.0,4.0,1573.0,0.2,0.732
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,1.0,48.0,4.0,1573.0,0.2,0.721
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.707
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.699
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.763
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.727
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.721
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,10.0,48.0,4.0,1573.0,0.2,0.743
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,10.0,48.0,4.0,1573.0,0.2,0.697
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,10.0,48.0,4.0,1573.0,0.2,0.704
HAP,HAP,,water,,,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,10.0,48.0,4.0,1573.0,0.2,0.7
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1623.0,0.05,0.91
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.9
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.9
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.89
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.88
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.9
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.88
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.86
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,0.0,,2.0,1473.0,0.08,0.88
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.78
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.77
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,1523.0,0.2,0.8
HAP,HAP,,water,,,Ceramic,,,,,,,0.0,,,,0.15,0.763
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.05,,0.0,24.0,3.0,873.0,0.2,0.73
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,1523.0,0.1,0.75
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,72.0,2.0,1173.0,0.15,0.825
HAP,HAP,,water,,,Ceramic,,,,,,,0.0,,,,0.25,0.668
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1173.0,0.15,0.825
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.74
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1273.0,0.15,0.82
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.03,,0.0,24.0,3.0,873.0,0.2,0.71
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,1523.0,0.3,0.6
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1273.0,0.15,0.81
HAP,HAP,,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.78
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.73
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,72.0,2.0,1173.0,0.15,0.82
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1073.0,0.15,0.82
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1173.0,0.15,0.81
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,873.0,0.2,0.68
HAP,HAP,,water,,,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,0.0,24.0,3.0,1523.0,0.2,0.68
HAP,HAP,MgO,TBA,,,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.75
