name_part1,name_part2,name_fluid1,material_group,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
Al2O3,,water,Ceramic,,0.0,,2.0,2073.0,0.2,0.553
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.1,0.7
Al2O3,,water,Ceramic,,0.0,36.0,3.0,1123.0,0.15,0.67
YSZ,,water,Ceramic,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,,water,Ceramic,,0.0,36.0,3.0,873.0,0.1,0.84
HAP,BT,water,Ceramic,,0.0,36.0,3.0,1373.0,0.4,0.42
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.73
Y2SiO5,,TBA,Ceramic,,0.0,,1.0,1473.0,0.15,0.56
HAP,TCP,camphene,Ceramic,,0.0,,3.0,1573.0,0.11,0.5
fireclay,,water,Ceramic,,0.0,24.0,2.0,823.0,0.1751,0.7312
TiO2,,water,Ceramic,,10.0,72.0,3.0,1273.0,0.1,0.855
Mullite,,TBA,Ceramic,,0.0,0.0,1.0,1873.0,0.1583,0.71
kaolinite,Al2O3,water,Ceramic,233.0,0.0,24.0,2.0,1773.0,0.05,0.915
HAP,,water,Ceramic,253.0,0.0,,3.0,1623.0,0.2,0.37
Bentonite,,water,Ceramic,208.0,0.0,24.0,1.0,873.0,0.0235,0.97
YSZ,,camphene,Ceramic,278.0,0.0,,2.0,1823.0,0.1,0.85
SiO2,,water,Ceramic,,0.0,,,,0.0038,0.6
Al2O3,ZrO2,TBA,Ceramic,77.0,0.0,,,1773.0,0.15,0.48
LSM,YSZ,water,Ceramic,,38.0,12.0,1.0,873.0,0.17,0.65
YSZ,,water,Ceramic,,0.0,,,,0.5,0.59
chitin,,water,Polymer,77.0,0.0,24.0,,,0.0053,0.981
WO3,,water,Metal,253.0,0.0,,,1023.0,0.25,0.465
Al2O3,,camphene,Ceramic,291.0,0.0,0.0,4.0,1873.0,0.43,0.2
YSZ,,TBA,Ceramic,,0.0,,0.5,773.0,0.1,0.7
BT,kaolinite,water,Ceramic,243.0,0.0,0.0,,873.0,0.11,0.68
chitosan,HAP,water,Polymer,77.0,0.0,0.0,,,0.09,0.503
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,,0.0,24.0,2.0,8873.0,0.3,0.42
YSZ,,TBA,Ceramic,195.0,,,1.0,1723.0,0.15,0.74
kaolinite,Al2O3,water,Ceramic,203.0,0.0,24.0,2.0,1773.0,0.06,0.892
HAP,,water,Ceramic,,0.0,24.0,,,0.171,0.7
HAP,,water,Ceramic,243.0,0.0,0.0,3.0,1623.0,0.45,0.375
HAP,Al2O3,water,Ceramic,,1.0,,24.0,873.0,0.15,0.7994
SiO2,kaolinite,water,Ceramic,238.0,0.0,,72.0,1523.0,0.18,0.6
YSZ,Al2O3,water,Ceramic,,0.0,24.0,,773.0,0.16,0.68
HAP,Al2O3,water,Ceramic,,1.0,,24.0,873.0,0.15,0.7936
SiO2,,water,Ceramic,223.0,0.0,12.0,3.0,1673.0,0.07,0.5
Bioglass,,water,Ceramic,253.0,0.0,,,773.0,0.125,0.65
SiC,,camphene,Ceramic,276.0,0.0,,2.0,873.0,0.1,0.74
WO3,,water,Metal,248.0,0.0,,,1023.0,0.25,0.443
ZrB2,SiC,water,Ceramic,233.0,0.0,0.0,0.5,773.0,0.76,0.385
Bioglass,,camphene,Ceramic,,0.0,,1.0,1773.0,0.1,0.5
PZT,,TBA,Ceramic,213.0,0.0,0.0,2.0,1723.0,0.3,0.5
SiC,chitosan,acetic acid,Ceramic,,4.0,24.0,1.0,873.0,0.07,0.92
HAP,SiO2,water,Ceramic,,4.0,,24.0,873.0,0.15,0.7302
YSZ,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.02,0.77
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.25,0.65
CaP,,water,Ceramic,208.0,0.0,0.0,2.0,873.0,0.2,0.77
Cordierite,,water,Ceramic,223.0,0.0,24.0,2.0,1473.0,0.1,0.87
BT,kaolinite,water,Ceramic,243.0,0.0,0.0,,873.0,0.11,0.6
HAP,,water,Ceramic,,0.0,,,1573.0,0.32,0.47
Al2O3,,water,Ceramic,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.52
theophylline,starch,water,Pharmaceutical,243.0,0.0,24.0,,,0.34,0.42
Al2O3,CuO,water,Ceramic,253.0,0.0,48.0,1.0,873.0,0.3,0.46
ZrB2,SiC,camphene,Ceramic,,0.0,72.0,3.0,823.0,0.25,0.55
Al2O3,,water,Ceramic,,0.0,96.0,4.0,723.0,0.35,0.65
kaolinite,Al2O3,water,Ceramic,213.0,0.0,24.0,2.0,1773.0,0.05,0.911
Ni,,water,Metal,263.0,0.0,,,773.0,0.1,0.85
Ni,,water,Metal,233.0,0.0,,,773.0,0.1,0.85
Yb2SiO5,,water,Ceramic,77.0,0.0,48.0,2.0,873.0,0.2,0.791
SiO2,,TBA,Ceramic,,0.0,12.0,1.0,873.0,0.07,0.7
Al2O3,SiC,water,Ceramic,77.0,0.0,0.0,1.0,873.0,0.55,0.07
